N,steps,residual
100,305,0.00771846
100,306,0.00769694
100,307,0.00766728
100,308,0.00764684
100,309,0.00761656
100,310,0.00759717
100,311,0.00756628
100,312,0.00754792
100,313,0.00751644
100,314,0.00749908
100,315,0.00746704
100,316,0.00745066
100,317,0.00741808
100,318,0.00740266
100,319,0.00737056
100,320,0.00735505
100,321,0.00732476
100,322,0.00730785
100,323,0.00727933
100,324,0.00726104
100,325,0.00723427
100,326,0.00721463
100,327,0.00718958
100,328,0.00716861
100,329,0.00714526
100,330,0.00712297
100,331,0.0071013
100,332,0.00707771
100,333,0.0070577
100,334,0.00703284
100,335,0.00701445
100,336,0.00698833
100,337,0.00697156
100,338,0.00694419
100,339,0.00692901
100,340,0.00690112
100,341,0.00688681
100,342,0.00685989
100,343,0.00684495
100,344,0.00681897
100,345,0.00680343
100,346,0.00677837
100,347,0.00676224
100,348,0.00673809
100,349,0.00672138
100,350,0.00669812
100,351,0.00668086
100,352,0.00665846
100,353,0.00664065
100,354,0.0066191
100,355,0.00660077
100,356,0.00658005
100,357,0.00656121
100,358,0.0065413
100,359,0.00652196
100,360,0.00650285
100,361,0.00648302
100,362,0.00646469
100,363,0.0064444
100,364,0.00642682
100,365,0.00640608
100,366,0.00638924
100,367,0.00636806
100,368,0.00635196
100,369,0.00633035
100,370,0.00631495
100,371,0.00629293
100,372,0.00627823
100,373,0.00625663
100,374,0.00624179
100,375,0.00622083
100,376,0.00620563
100,377,0.00618543
100,378,0.00616974
100,379,0.00615094
100,380,0.00613412
100,381,0.00611671
100,382,0.0061003
100,383,0.00608272
100,384,0.0060669
100,385,0.00604899
100,386,0.00603373
100,387,0.0060155
100,388,0.0060008
100,389,0.00598227
100,390,0.00596811
100,391,0.00594927
100,392,0.00593565
100,393,0.00591652
100,394,0.00590342
100,395,0.00588401
100,396,0.00587142
100,397,0.00585173
100,398,0.00583965
100,399,0.00581969
100,400,0.00580811
100,401,0.00578788
100,402,0.00577678
100,403,0.00575631
100,404,0.00574569
100,405,0.00572496
100,406,0.00571481
100,407,0.00569385
100,408,0.00568415
100,409,0.00566295
100,410,0.00565371
100,411,0.00563229
100,412,0.00562348
100,413,0.00560184
100,414,0.00559347
100,415,0.00557161
100,416,0.00556367
100,417,0.0055416
100,418,0.00553408
100,419,0.00551181
100,420,0.0055047
100,421,0.00548235
100,422,0.00547553
100,423,0.00545369
100,424,0.00544656
100,425,0.0054256
100,426,0.00541779
100,427,0.00539808
100,428,0.00538923
100,429,0.00537076
100,430,0.00536086
100,431,0.00534362
100,432,0.00533275
100,433,0.00531666
100,434,0.00530613
100,435,0.00528988
100,436,0.00527969
100,437,0.00526328
100,438,0.00525342
100,439,0.00523687
100,440,0.00522732
100,441,0.00521063
100,442,0.0052014
100,443,0.00518456
100,444,0.00517564
100,445,0.00515867
100,446,0.00515005
100,447,0.00513296
100,448,0.00512463
100,449,0.00510742
100,450,0.00509938
100,451,0.00508204
100,452,0.00507429
100,453,0.00505684
100,454,0.00504936
100,455,0.0050318
100,456,0.00502459
100,457,0.00500693
100,458,0.00499999
100,459,0.00498223
100,460,0.00497554
100,461,0.00495769
100,462,0.00495126
100,463,0.00493359
100,464,0.00492713
100,465,0.00491051
100,466,0.00490316
100,467,0.00488758
100,468,0.00487934
100,469,0.00486479
100,470,0.00485567
100,471,0.00484214
100,472,0.00483216
100,473,0.00481963
100,474,0.0048088
100,475,0.00479726
100,476,0.00478559
100,477,0.00477502
100,478,0.00476253
100,479,0.00475293
100,480,0.00473962
100,481,0.00473097
100,482,0.00471725
100,483,0.00470914
100,484,0.0046957
100,485,0.00468745
100,486,0.00467429
100,487,0.00466589
100,488,0.004653
100,489,0.00464447
100,490,0.00463184
100,491,0.00462318
100,492,0.00461082
100,493,0.00460201
100,494,0.00458991
100,495,0.00458098
100,496,0.00456914
100,497,0.00456007
100,498,0.00454849
100,499,0.00453929
100,500,0.00452796
100,501,0.00451864
100,502,0.00450756
100,503,0.00449812
100,504,0.00448728
100,505,0.00447771
100,506,0.00446712
100,507,0.00445744
100,508,0.00444708
100,509,0.00443728
100,510,0.00442716
100,511,0.00441725
100,512,0.00440737
100,513,0.00439734
100,514,0.00438769
100,515,0.00437755
100,516,0.00436812
100,517,0.00435848
100,518,0.00434868
100,519,0.00433987
100,520,0.00432935
100,521,0.00432137
100,522,0.00431013
100,523,0.00430297
100,524,0.00429103
100,525,0.00428468
100,526,0.00427209
100,527,0.00426649
100,528,0.00425392
100,529,0.0042484
100,530,0.00423598
100,531,0.00423042
100,532,0.00421813
100,533,0.00421253
100,534,0.00420038
100,535,0.00419475
100,536,0.00418273
100,537,0.00417707
100,538,0.00416518
100,539,0.00415948
100,540,0.00414772
100,541,0.004142
100,542,0.00413037
100,543,0.00412461
100,544,0.0041131
100,545,0.00410732
100,546,0.00409593
100,547,0.00409013
100,548,0.00407886
100,549,0.00407303
100,550,0.00406188
100,551,0.00405603
100,552,0.004045
100,553,0.00403912
100,554,0.00402867
100,555,0.00402231
100,556,0.00401259
100,557,0.00400559
100,558,0.0039966
100,559,0.00398958
100,560,0.0039807
100,561,0.00397373
100,562,0.00396487
100,563,0.00395796
100,564,0.00394913
100,565,0.00394227
100,566,0.00393347
100,567,0.00392667
100,568,0.00391789
100,569,0.00391114
100,570,0.0039024
100,571,0.0038957
100,572,0.00388698
100,573,0.00388033
100,574,0.00387165
100,575,0.00386505
100,576,0.00385639
100,577,0.00384984
100,578,0.00384122
100,579,0.00383471
100,580,0.00382612
100,581,0.00381966
100,582,0.0038111
100,583,0.00380469
100,584,0.00379616
100,585,0.00378979
100,586,0.00378129
100,587,0.00377497
100,588,0.00376651
100,589,0.00376023
100,590,0.0037523
100,591,0.00374556
100,592,0.00373823
100,593,0.00373097
100,594,0.00372423
100,595,0.00371645
100,596,0.0037103
100,597,0.003702
100,598,0.00369644
100,599,0.00368763
100,600,0.00368264
100,601,0.00367333
100,602,0.00366891
100,603,0.00365911
100,604,0.00365525
100,605,0.00364507
100,606,0.00364165
100,607,0.00363154
100,608,0.00362812
100,609,0.00361807
100,610,0.00361465
100,611,0.00360467
100,612,0.00360124
100,613,0.00359133
100,614,0.0035879
100,615,0.00357805
100,616,0.00357463
100,617,0.00356484
100,618,0.00356141
100,619,0.00355169
100,620,0.00354826
100,621,0.0035388
100,622,0.00353518
100,623,0.00352625
100,624,0.00352215
100,625,0.00351375
100,626,0.00350919
100,627,0.00350131
100,628,0.00349628
100,629,0.00348893
100,630,0.00348344
100,631,0.0034766
100,632,0.00347066
100,633,0.00346433
100,634,0.00345794
100,635,0.00345211
100,636,0.00344528
100,637,0.00343994
100,638,0.00343268
100,639,0.00342783
100,640,0.00342014
100,641,0.00341577
100,642,0.00340766
100,643,0.00340377
100,644,0.00339553
100,645,0.00339182
100,646,0.0033837
100,647,0.00337992
100,648,0.00337192
100,649,0.00336807
100,650,0.0033602
100,651,0.00335628
100,652,0.00334852
100,653,0.00334454
100,654,0.0033369
100,655,0.00333285
100,656,0.00332533
100,657,0.00332121
100,658,0.00331381
100,659,0.00330963
100,660,0.00330234
100,661,0.00329809
100,662,0.00329092
100,663,0.00328661
100,664,0.00327955
100,665,0.00327517
100,666,0.00326823
100,667,0.00326379
100,668,0.00325706
100,669,0.00325245
100,670,0.00324615
100,671,0.00324128
100,672,0.00323529
100,673,0.00323052
100,674,0.00322448
100,675,0.0032198
100,676,0.00321371
100,677,0.00320913
100,678,0.00320298
100,679,0.0031985
100,680,0.0031923
100,681,0.00318791
100,682,0.00318166
100,683,0.00317737
100,684,0.00317107
100,685,0.00316687
100,686,0.00316052
100,687,0.00315641
100,688,0.00315001
100,689,0.003146
100,690,0.00313954
100,691,0.00313563
100,692,0.00312912
100,693,0.0031253
100,694,0.00311874
100,695,0.00311501
100,696,0.00310841
100,697,0.00310477
100,698,0.0030983
100,699,0.00309456
100,700,0.00308846
100,701,0.0030844
100,702,0.00307867
100,703,0.00307428
100,704,0.0030689
100,705,0.0030642
100,706,0.00305918
100,707,0.00305417
100,708,0.00304949
100,709,0.00304417
100,710,0.00303984
100,711,0.00303422
100,712,0.00303023
100,713,0.0030243
100,714,0.00302065
100,715,0.00301442
100,716,0.00301111
100,717,0.00300485
100,718,0.00300161
100,719,0.00299541
100,720,0.00299214
100,721,0.00298601
100,722,0.00298271
100,723,0.00297665
100,724,0.00297331
100,725,0.00296731
100,726,0.00296395
100,727,0.00295802
100,728,0.00295463
100,729,0.00294875
100,730,0.00294534
100,731,0.00293953
100,732,0.00293608
100,733,0.00293033
100,734,0.00292687
100,735,0.00292118
100,736,0.00291768
100,737,0.00291205
100,738,0.00290853
100,739,0.00290296
100,740,0.00289942
100,741,0.0028939
100,742,0.00289034
100,743,0.00288503
100,744,0.0028813
100,745,0.00287628
100,746,0.00287229
100,747,0.00286757
100,748,0.00286331
100,749,0.00285888
100,750,0.00285437
100,751,0.00285022
100,752,0.00284546
100,753,0.0028416
100,754,0.00283659
100,755,0.002833
100,756,0.00282788
100,757,0.00282444
100,758,0.00281937
100,759,0.00281591
100,760,0.00281089
100,761,0.00280741
100,762,0.00280245
100,763,0.00279893
100,764,0.00279403
100,765,0.00279049
100,766,0.00278564
100,767,0.00278208
100,768,0.00277728
100,769,0.0027737
100,770,0.00276895
100,771,0.00276535
100,772,0.00276064
100,773,0.00275702
100,774,0.00275237
100,775,0.00274873
100,776,0.00274413
100,777,0.00274047
100,778,0.00273591
100,779,0.00273223
100,780,0.00272773
100,781,0.00272403
100,782,0.00271957
100,783,0.00271585
100,784,0.00271144
100,785,0.00270771
100,786,0.00270334
100,787,0.00269959
100,788,0.00269526
100,789,0.0026915
100,790,0.00268722
100,791,0.00268344
100,792,0.0026792
100,793,0.00267541
100,794,0.00267134
100,795,0.00266741
100,796,0.00266357
100,797,0.00265961
100,798,0.00265583
100,799,0.00265191
100,800,0.00264811
100,801,0.00264424
100,802,0.00264049
100,803,0.00263659
100,804,0.00263291
100,805,0.00262896
100,806,0.00262535
100,807,0.00262136
100,808,0.00261783
100,809,0.00261379
100,810,0.00261032
100,811,0.00260624
100,812,0.00260284
100,813,0.00259871
100,814,0.00259539
100,815,0.00259121
100,816,0.00258796
100,817,0.00258374
100,818,0.00258056
100,819,0.00257628
100,820,0.00257318
100,821,0.00256886
100,822,0.00256582
100,823,0.00256146
100,824,0.00255849
100,825,0.00255419
100,826,0.00255118
100,827,0.00254708
100,828,0.0025439
100,829,0.00253999
100,830,0.00253664
100,831,0.00253292
100,832,0.00252941
100,833,0.00252588
100,834,0.0025222
100,835,0.00251886
100,836,0.00251501
100,837,0.00251186
100,838,0.00250785
100,839,0.00250488
100,840,0.00250071
100,841,0.00249793
100,842,0.0024936
100,843,0.002491
100,844,0.00248651
100,845,0.00248409
100,846,0.00247944
100,847,0.0024772
100,848,0.0024724
100,849,0.00247033
100,850,0.00246538
100,851,0.00246349
100,852,0.00245838
100,853,0.00245666
100,854,0.0024514
100,855,0.00244986
100,856,0.00244445
100,857,0.00244308
100,858,0.00243753
100,859,0.00243632
100,860,0.00243086
100,861,0.00242958
100,862,0.00242429
100,863,0.00242287
100,864,0.00241774
100,865,0.00241617
100,866,0.00241121
100,867,0.0024095
100,868,0.00240471
100,869,0.00240284
100,870,0.00239822
100,871,0.00239621
100,872,0.00239175
100,873,0.0023896
100,874,0.0023853
100,875,0.00238301
100,876,0.00237887
100,877,0.00237644
100,878,0.00237246
100,879,0.00236989
100,880,0.00236607
100,881,0.00236337
100,882,0.00235969
100,883,0.00235686
100,884,0.00235334
100,885,0.00235037
100,886,0.00234701
100,887,0.00234391
100,888,0.00234069
100,889,0.00233746
100,890,0.0023344
100,891,0.00233104
100,892,0.00232812
100,893,0.00232464
100,894,0.00232186
100,895,0.00231825
100,896,0.00231563
100,897,0.00231189
100,898,0.00230941
100,899,0.00230555
100,900,0.00230321
100,901,0.00229922
100,902,0.00229703
100,903,0.00229292
100,904,0.00229086
100,905,0.00228664
100,906,0.00228472
100,907,0.00228038
100,908,0.0022786
100,909,0.00227413
100,910,0.00227249
100,911,0.00226791
100,912,0.0022664
100,913,0.00226171
100,914,0.00226033
100,915,0.00225553
100,916,0.00225428
100,917,0.00224936
100,918,0.00224825
100,919,0.00224327
100,920,0.00224224
100,921,0.00223739
100,922,0.00223624
100,923,0.00223153
100,924,0.00223027
100,925,0.00222569
100,926,0.00222431
100,927,0.00221986
100,928,0.00221837
100,929,0.00221405
100,930,0.00221245
100,931,0.00220826
100,932,0.00220654
100,933,0.00220248
100,934,0.00220066
100,935,0.00219672
100,936,0.00219479
100,937,0.00219098
100,938,0.00218894
100,939,0.00218525
100,940,0.00218311
100,941,0.00217955
100,942,0.00217729
100,943,0.00217385
100,944,0.0021715
100,945,0.00216818
100,946,0.00216572
100,947,0.00216252
100,948,0.00215996
100,949,0.00215688
100,950,0.00215422
100,951,0.00215126
100,952,0.00214849
100,953,0.00214565
100,954,0.00214278
100,955,0.00214006
100,956,0.00213709
100,957,0.00213448
100,958,0.00213142
100,959,0.00212892
100,960,0.00212577
100,961,0.00212338
100,962,0.00212013
100,963,0.00211786
100,964,0.00211451
100,965,0.00211235
100,966,0.00210891
100,967,0.00210686
100,968,0.00210338
100,969,0.00210138
100,970,0.00209798
100,971,0.00209592
100,972,0.00209259
100,973,0.00209048
100,974,0.00208721
100,975,0.00208505
100,976,0.00208186
100,977,0.00207964
100,978,0.00207651
100,979,0.00207424
100,980,0.00207119
100,981,0.00206886
100,982,0.00206588
100,983,0.0020635
100,984,0.00206058
100,985,0.00205815
100,986,0.00205531
100,987,0.00205282
100,988,0.00205004
100,989,0.00204751
100,990,0.0020448
100,991,0.00204221
100,992,0.00203957
100,993,0.00203692
100,994,0.00203435
100,995,0.00203166
100,996,0.00202915
100,997,0.00202641
100,998,0.00202397
100,999,0.00202117
100,1000,0.0020188
100,1001,0.00201595
100,1002,0.00201365
100,1003,0.00201074
100,1004,0.00200851
100,1005,0.00200555
100,1006,0.00200339
100,1007,0.0020004
100,1008,0.00199828
100,1009,0.00199539
100,1010,0.00199319
100,1011,0.00199039
100,1012,0.00198811
100,1013,0.0019854
100,1014,0.00198305
100,1015,0.00198044
100,1016,0.001978
100,1017,0.00197548
100,1018,0.00197297
100,1019,0.00197054
100,1020,0.00196796
100,1021,0.00196562
100,1022,0.00196296
100,1023,0.0019607
100,1024,0.00195797
100,1025,0.00195581
100,1026,0.001953
100,1027,0.00195093
100,1028,0.00194805
100,1029,0.00194606
100,1030,0.00194311
100,1031,0.0019412
100,1032,0.00193818
100,1033,0.00193636
100,1034,0.00193327
100,1035,0.00193154
100,1036,0.00192837
100,1037,0.00192673
100,1038,0.00192349
100,1039,0.00192193
100,1040,0.00191862
100,1041,0.00191714
100,1042,0.00191377
100,1043,0.00191238
100,1044,0.00190893
100,1045,0.00190762
100,1046,0.00190411
100,1047,0.00190288
100,1048,0.00189933
100,1049,0.00189815
100,1050,0.00189459
100,1051,0.00189344
100,1052,0.00188986
100,1053,0.00188874
100,1054,0.00188515
100,1055,0.00188405
100,1056,0.00188045
100,1057,0.00187938
100,1058,0.00187576
100,1059,0.00187472
100,1060,0.00187109
100,1061,0.00187007
100,1062,0.00186643
100,1063,0.00186544
100,1064,0.00186179
100,1065,0.00186082
100,1066,0.00185715
100,1067,0.00185622
100,1068,0.0018526
100,1069,0.00185163
100,1070,0.00184809
100,1071,0.00184705
100,1072,0.00184359
100,1073,0.00184249
100,1074,0.00183911
100,1075,0.00183793
100,1076,0.00183463
100,1077,0.0018334
100,1078,0.00183017
100,1079,0.00182887
100,1080,0.00182573
100,1081,0.00182436
100,1082,0.00182129
100,1083,0.00181986
100,1084,0.00181687
100,1085,0.00181538
100,1086,0.00181246
100,1087,0.00181091
100,1088,0.00180807
100,1089,0.00180645
100,1090,0.00180368
100,1091,0.00180201
100,1092,0.00179931
100,1093,0.00179757
100,1094,0.00179495
100,1095,0.00179315
100,1096,0.00179061
100,1097,0.00178875
100,1098,0.00178627
100,1099,0.00178436
100,1100,0.00178195
100,1101,0.00177998
100,1102,0.00177764
100,1103,0.00177561
100,1104,0.00177335
100,1105,0.00177125
100,1106,0.00176906
100,1107,0.00176691
100,1108,0.00176479
100,1109,0.00176258
100,1110,0.00176053
100,1111,0.00175827
100,1112,0.00175629
100,1113,0.00175396
100,1114,0.00175205
100,1115,0.00174967
100,1116,0.00174783
100,1117,0.00174539
100,1118,0.00174362
100,1119,0.00174113
100,1120,0.00173942
100,1121,0.00173688
100,1122,0.00173523
100,1123,0.00173264
100,1124,0.00173106
100,1125,0.00172841
100,1126,0.0017269
100,1127,0.00172419
100,1128,0.00172275
100,1129,0.00171999
100,1130,0.00171861
100,1131,0.0017158
100,1132,0.00171448
100,1133,0.00171173
100,1134,0.00171037
100,1135,0.00170768
100,1136,0.00170626
100,1137,0.00170365
100,1138,0.00170217
100,1139,0.00169962
100,1140,0.00169809
100,1141,0.00169561
100,1142,0.00169402
100,1143,0.00169161
100,1144,0.00168997
100,1145,0.00168762
100,1146,0.00168592
100,1147,0.00168364
100,1148,0.00168189
100,1149,0.00167967
100,1150,0.00167787
100,1151,0.00167572
100,1152,0.00167386
100,1153,0.00167177
100,1154,0.00166986
100,1155,0.00166784
100,1156,0.00166588
100,1157,0.00166392
100,1158,0.0016619
100,1159,0.00166001
100,1160,0.00165794
100,1161,0.00165611
100,1162,0.00165399
100,1163,0.00165222
100,1164,0.00165005
100,1165,0.00164834
100,1166,0.00164612
100,1167,0.00164447
100,1168,0.0016422
100,1169,0.00164062
100,1170,0.00163829
100,1171,0.00163678
100,1172,0.0016344
100,1173,0.00163294
100,1174,0.00163051
100,1175,0.00162912
100,1176,0.00162667
100,1177,0.00162531
100,1178,0.00162292
100,1179,0.00162151
100,1180,0.00161917
100,1181,0.00161772
100,1182,0.00161544
100,1183,0.00161394
100,1184,0.00161172
100,1185,0.00161017
100,1186,0.00160801
100,1187,0.00160642
100,1188,0.00160431
100,1189,0.00160267
100,1190,0.00160062
100,1191,0.00159894
100,1192,0.00159694
100,1193,0.00159521
100,1194,0.00159327
100,1195,0.0015915
100,1196,0.00158961
100,1197,0.0015878
100,1198,0.00158597
100,1199,0.0015841
100,1200,0.00158233
100,1201,0.00158042
100,1202,0.0015787
100,1203,0.00157675
100,1204,0.00157508
100,1205,0.00157309
100,1206,0.00157147
100,1207,0.00156944
100,1208,0.00156788
100,1209,0.0015658
100,1210,0.00156429
100,1211,0.00156217
100,1212,0.00156071
100,1213,0.00155855
100,1214,0.00155715
100,1215,0.00155494
100,1216,0.00155359
100,1217,0.00155134
100,1218,0.00155004
100,1219,0.00154776
100,1220,0.0015465
100,1221,0.00154418
100,1222,0.00154298
100,1223,0.00154061
100,1224,0.00153946
100,1225,0.00153705
100,1226,0.00153595
100,1227,0.00153351
100,1228,0.00153246
100,1229,0.00152997
100,1230,0.00152897
100,1231,0.00152644
100,1232,0.00152549
100,1233,0.00152292
100,1234,0.00152202
100,1235,0.00151942
100,1236,0.00151856
100,1237,0.00151592
100,1238,0.00151512
100,1239,0.00151243
100,1240,0.00151168
100,1241,0.00150896
100,1242,0.00150825
100,1243,0.00150549
100,1244,0.00150483
100,1245,0.00150203
100,1246,0.00150142
100,1247,0.00149859
100,1248,0.00149802
100,1249,0.00149518
100,1250,0.00149463
100,1251,0.00149184
100,1252,0.00149125
100,1253,0.0014885
100,1254,0.00148787
100,1255,0.00148517
100,1256,0.00148451
100,1257,0.00148186
100,1258,0.00148116
100,1259,0.00147855
100,1260,0.00147781
100,1261,0.00147525
100,1262,0.00147448
100,1263,0.00147196
100,1264,0.00147116
100,1265,0.00146868
100,1266,0.00146784
100,1267,0.00146541
100,1268,0.00146453
100,1269,0.00146214
100,1270,0.00146124
100,1271,0.00145889
100,1272,0.00145795
100,1273,0.00145565
100,1274,0.00145467
100,1275,0.00145241
100,1276,0.0014514
100,1277,0.0014492
100,1278,0.00144814
100,1279,0.001446
100,1280,0.00144489
100,1281,0.00144281
100,1282,0.00144165
100,1283,0.00143963
100,1284,0.00143842
100,1285,0.00143646
100,1286,0.00143519
100,1287,0.00143329
100,1288,0.00143198
100,1289,0.00143014
100,1290,0.00142877
100,1291,0.00142699
100,1292,0.00142558
100,1293,0.00142386
100,1294,0.00142239
100,1295,0.00142073
100,1296,0.00141921
100,1297,0.00141761
100,1298,0.00141604
100,1299,0.0014145
100,1300,0.00141294
100,1301,0.00141139
100,1302,0.00140988
100,1303,0.0014083
100,1304,0.00140683
100,1305,0.00140521
100,1306,0.00140379
100,1307,0.00140214
100,1308,0.00140075
100,1309,0.00139907
100,1310,0.00139773
100,1311,0.00139601
100,1312,0.00139471
100,1313,0.00139296
100,1314,0.0013917
100,1315,0.00138991
100,1316,0.0013887
100,1317,0.00138688
100,1318,0.0013857
100,1319,0.00138385
100,1320,0.00138272
100,1321,0.00138084
100,1322,0.00137974
100,1323,0.00137783
100,1324,0.00137677
100,1325,0.00137485
100,1326,0.00137381
100,1327,0.00137193
100,1328,0.00137086
100,1329,0.00136902
100,1330,0.00136791
100,1331,0.00136612
100,1332,0.00136497
100,1333,0.00136323
100,1334,0.00136204
100,1335,0.00136034
100,1336,0.00135912
100,1337,0.00135747
100,1338,0.00135621
100,1339,0.0013546
100,1340,0.0013533
100,1341,0.00135173
100,1342,0.00135041
100,1343,0.00134888
100,1344,0.00134752
100,1345,0.00134603
100,1346,0.00134464
100,1347,0.0013432
100,1348,0.00134176
100,1349,0.00134037
100,1350,0.0013389
100,1351,0.00133754
100,1352,0.00133604
100,1353,0.00133473
100,1354,0.00133319
100,1355,0.00133192
100,1356,0.00133035
100,1357,0.00132912
100,1358,0.00132751
100,1359,0.00132632
100,1360,0.00132468
100,1361,0.00132354
100,1362,0.00132186
100,1363,0.00132076
100,1364,0.00131905
100,1365,0.00131799
