N,steps,min,max,total
100,200,0,1,9.38756e+07
100,201,0,1,9.43426e+07
100,202,0,1,9.48097e+07
100,203,0,1,9.52767e+07
100,204,0,1,9.57437e+07
100,205,0,1,9.62107e+07
100,206,0,1,9.66778e+07
100,207,0,1,9.71448e+07
100,208,0,1,9.76118e+07
100,209,0,1,9.80788e+07
100,210,0,1,9.85459e+07
100,211,0,1,9.90129e+07
100,212,0,1,9.94799e+07
100,213,0,1,9.99469e+07
100,214,0,1,1.00414e+08
100,215,0,1,1.00881e+08
100,216,0,1,1.01348e+08
100,217,0,1,1.01815e+08
100,218,0,1,1.02282e+08
100,219,0,1,1.02749e+08
100,220,0,1,1.03216e+08
100,221,0,1,1.03683e+08
100,222,0,1,1.0415e+08
100,223,0,1,1.04617e+08
100,224,0,1,1.05084e+08
100,225,0,1,1.05551e+08
100,226,0,1,1.06018e+08
100,227,0,1,1.06485e+08
100,228,0,1,1.06952e+08
100,229,0,1,1.07419e+08
100,230,0,1,1.07886e+08
100,231,0,1,1.08353e+08
100,232,0,1,1.0882e+08
100,233,0,1,1.09287e+08
100,234,0,1,1.09754e+08
100,235,0,1,1.10221e+08
100,236,0,1,1.10688e+08
100,237,0,1,1.11155e+08
100,238,0,1,1.11623e+08
100,239,0,1,1.1209e+08
100,240,0,1,1.12557e+08
100,241,0,1,1.13024e+08
100,242,0,1,1.13491e+08
100,243,0,1,1.13958e+08
100,244,0,1,1.14425e+08
100,245,0,1,1.14892e+08
100,246,0,1,1.15359e+08
100,247,0,1,1.15826e+08
100,248,0,1,1.16293e+08
100,249,0,1,1.1676e+08
100,250,0,1,1.17227e+08
100,251,0,1,1.17694e+08
100,252,0,1,1.18161e+08
100,253,0,1,1.18628e+08
100,254,0,1,1.19095e+08
100,255,0,1,1.19562e+08
100,256,0,1,1.20029e+08
100,257,0,1,1.20496e+08
100,258,0,1,1.20963e+08
100,259,0,1,1.2143e+08
100,260,0,1,1.21897e+08
100,261,0,1,1.22364e+08
100,262,0,1,1.22831e+08
100,263,0,1,1.23298e+08
100,264,0,1,1.23765e+08
100,265,0,1,1.24232e+08
100,266,0,1,1.24699e+08
100,267,0,1,1.25166e+08
100,268,0,1,1.25633e+08
100,269,0,1,1.261e+08
100,270,0,1,1.26567e+08
100,271,0,1,1.27034e+08
100,272,0,1,1.27501e+08
100,273,0,1,1.27968e+08
100,274,0,1,1.28435e+08
100,275,0,1,1.28902e+08
100,276,0,1,1.29369e+08
100,277,0,1,1.29836e+08
100,278,0,1,1.30303e+08
100,279,0,1,1.3077e+08
100,280,0,1,1.31238e+08
100,281,0,1,1.31705e+08
100,282,0,1,1.32172e+08
100,283,0,1,1.32639e+08
100,284,0,1,1.33106e+08
100,285,0,1,1.33573e+08
100,286,0,1,1.3404e+08
100,287,0,1,1.34507e+08
100,288,0,1,1.34974e+08
100,289,0,1,1.35441e+08
100,290,0,1,1.35908e+08
100,291,0,1,1.36375e+08
100,292,0,1,1.36842e+08
100,293,0,1,1.37309e+08
100,294,0,1,1.37776e+08
100,295,0,1,1.38243e+08
100,296,0,1,1.3871e+08
100,297,0,1,1.39177e+08
100,298,0,1,1.39644e+08
100,299,0,1,1.40111e+08
100,300,0,1,1.40578e+08
100,301,0,1,1.41045e+08
100,302,0,1,1.41512e+08
100,303,0,1,1.41979e+08
100,304,0,1,1.42446e+08
100,305,0,1,1.42913e+08
100,306,0,1,1.4338e+08
100,307,0,1,1.43847e+08
100,308,0,1,1.44314e+08
100,309,0,1,1.44781e+08
100,310,0,1,1.45248e+08
100,311,0,1,1.45715e+08
100,312,0,1,1.46182e+08
100,313,0,1,1.46649e+08
100,314,0,1,1.47116e+08
100,315,0,1,1.47583e+08
100,316,0,1,1.4805e+08
100,317,0,1,1.48517e+08
100,318,0,1,1.48984e+08
100,319,0,1,1.49451e+08
100,320,0,1,1.49918e+08
100,321,0,1,1.50385e+08
100,322,0,1,1.50853e+08
100,323,0,1,1.5132e+08
100,324,0,1,1.51787e+08
100,325,0,1,1.52254e+08
100,326,0,1,1.52721e+08
100,327,0,1,1.53188e+08
100,328,0,1,1.53655e+08
100,329,0,1,1.54122e+08
100,330,0,1,1.54589e+08
100,331,0,1,1.55056e+08
100,332,0,1,1.55523e+08
100,333,0,1,1.5599e+08
100,334,0,1,1.56457e+08
100,335,0,1,1.56924e+08
100,336,0,1,1.57391e+08
100,337,0,1,1.57858e+08
100,338,0,1,1.58325e+08
100,339,0,1,1.58792e+08
100,340,0,1,1.59259e+08
100,341,0,1,1.59726e+08
100,342,0,1,1.60193e+08
100,343,0,1,1.6066e+08
100,344,0,1,1.61127e+08
100,345,0,1,1.61594e+08
100,346,0,1,1.62061e+08
100,347,0,1,1.62528e+08
100,348,0,1,1.62995e+08
100,349,0,1,1.63462e+08
100,350,0,1,1.63929e+08
100,351,0,1,1.64396e+08
100,352,0,1,1.64863e+08
100,353,0,1,1.6533e+08
100,354,0,1,1.65797e+08
100,355,0,1,1.66264e+08
100,356,0,1,1.66731e+08
100,357,0,1,1.67198e+08
100,358,0,1,1.67665e+08
100,359,0,1,1.68132e+08
100,360,0,1,1.68599e+08
100,361,0,1,1.69066e+08
100,362,0,1,1.69533e+08
100,363,0,1,1.7e+08
100,364,0,1,1.70468e+08
100,365,0,1,1.70935e+08
100,366,0,1,1.71402e+08
100,367,0,1,1.71869e+08
100,368,0,1,1.72336e+08
100,369,0,1,1.72803e+08
100,370,0,1,1.7327e+08
100,371,0,1,1.73737e+08
100,372,0,1,1.74204e+08
100,373,0,1,1.74671e+08
100,374,0,1,1.75138e+08
100,375,0,1,1.75605e+08
100,376,0,1,1.76072e+08
100,377,0,1,1.76539e+08
100,378,0,1,1.77006e+08
100,379,0,1,1.77473e+08
100,380,0,1,1.7794e+08
100,381,0,1,1.78407e+08
100,382,0,1,1.78874e+08
100,383,0,1,1.79341e+08
100,384,0,1,1.79808e+08
100,385,0,1,1.80275e+08
100,386,0,1,1.80742e+08
100,387,0,1,1.81209e+08
100,388,0,1,1.81676e+08
100,389,0,1,1.82143e+08
100,390,0,1,1.8261e+08
100,391,0,1,1.83077e+08
100,392,0,1,1.83544e+08
100,393,0,1,1.84011e+08
100,394,0,1,1.84478e+08
100,395,0,1,1.84945e+08
100,396,0,1,1.85412e+08
100,397,0,1,1.85879e+08
100,398,0,1,1.86346e+08
100,399,0,1,1.86813e+08
100,400,0,1,1.8728e+08
100,401,0,1,1.87747e+08
100,402,0,1,1.88214e+08
100,403,0,1,1.88681e+08
100,404,0,1,1.89148e+08
100,405,0,1,1.89615e+08
100,406,0,1,1.90083e+08
100,407,0,1,1.9055e+08
100,408,0,1,1.91017e+08
100,409,0,1,1.91484e+08
100,410,0,1,1.91951e+08
100,411,0,1,1.92418e+08
100,412,0,1,1.92885e+08
100,413,0,1,1.93352e+08
100,414,0,1,1.93819e+08
100,415,0,1,1.94286e+08
100,416,0,1,1.94753e+08
100,417,0,1,1.9522e+08
100,418,0,1,1.95687e+08
100,419,0,1,1.96154e+08
100,420,0,1,1.96621e+08
100,421,0,1,1.97088e+08
100,422,0,1,1.97555e+08
100,423,0,1,1.98022e+08
100,424,0,1,1.98489e+08
100,425,0,1,1.98956e+08
100,426,0,1,1.99423e+08
100,427,0,1,1.9989e+08
100,428,0,1,2.00357e+08
100,429,0,1,2.00824e+08
100,430,0,1,2.01291e+08
100,431,0,1,2.01758e+08
100,432,0,1,2.02225e+08
100,433,0,1,2.02692e+08
100,434,0,1,2.03159e+08
100,435,0,1,2.03626e+08
100,436,0,1,2.04093e+08
100,437,0,1,2.0456e+08
100,438,0,1,2.05027e+08
100,439,0,1,2.05494e+08
100,440,0,1,2.05961e+08
100,441,0,1,2.06428e+08
100,442,0,1,2.06895e+08
100,443,0,1,2.07362e+08
100,444,0,1,2.07829e+08
100,445,0,1,2.08296e+08
100,446,0,1,2.08763e+08
100,447,0,1,2.0923e+08
100,448,0,1,2.09698e+08
100,449,0,1,2.10165e+08
100,450,0,1,2.10632e+08
100,451,0,1,2.11099e+08
100,452,0,1,2.11566e+08
100,453,0,1,2.12033e+08
100,454,0,1,2.125e+08
100,455,0,1,2.12967e+08
100,456,0,1,2.13434e+08
100,457,0,1,2.13901e+08
100,458,0,1,2.14368e+08
100,459,0,1,2.14835e+08
100,460,0,1,2.15302e+08
100,461,0,1,2.15769e+08
100,462,0,1,2.16236e+08
100,463,0,1,2.16703e+08
100,464,0,1,2.1717e+08
100,465,0,1,2.17637e+08
100,466,0,1,2.18104e+08
100,467,0,1,2.18571e+08
100,468,0,1,2.19038e+08
100,469,0,1,2.19505e+08
100,470,0,1,2.19972e+08
100,471,0,1,2.20439e+08
100,472,0,1,2.20906e+08
100,473,0,1,2.21373e+08
100,474,0,1,2.2184e+08
100,475,0,1,2.22307e+08
100,476,0,1,2.22774e+08
100,477,0,1,2.23241e+08
100,478,0,1,2.23708e+08
100,479,0,1,2.24175e+08
100,480,0,1,2.24642e+08
100,481,0,1,2.25109e+08
100,482,0,1,2.25576e+08
100,483,0,1,2.26043e+08
100,484,0,1,2.2651e+08
100,485,0,1,2.26977e+08
100,486,0,1,2.27444e+08
100,487,0,1,2.27911e+08
100,488,0,1,2.28378e+08
100,489,0,1,2.28845e+08
100,490,0,1,2.29313e+08
100,491,0,1,2.2978e+08
100,492,0,1,2.30247e+08
100,493,0,1,2.30714e+08
100,494,0,1,2.31181e+08
100,495,0,1,2.31648e+08
100,496,0,1,2.32115e+08
100,497,0,1,2.32582e+08
100,498,0,1,2.33049e+08
